,player,x,y,endx,endy,team,outcome,minute,goalx,goaly
0,Bruno Fernandes,50.2,49.9,38.6,39.8,32,Successful,0,89.5,66.4
1,Victor Lindelöf,38.4,39.4,67.9,84.7,32,Successful,0,88.5,50.0
2,Paul Pogba,67.5,84.1,76.8,63.3,32,Unsuccessful,0,85.3,35.0
3,Tyrone Mings,22.0,32.1,32.8,31.2,24,Successful,0,92.1,50.4
4,Ross Barkley,32.8,33.9,27.9,33.6,24,Successful,0,,
5,Douglas Luiz,27.9,33.6,31.4,25.8,24,Successful,0,,
6,Matthew Cash,38.6,31.9,68.0,100.0,24,Unsuccessful,0,,
7,Aaron Wan-Bissaka,30.2,0.0,43.9,5.0,32,Unsuccessful,1,,
8,Matt Targett,55.8,94.2,71.9,91.3,24,Unsuccessful,1,,
9,Scott McTominay,27.5,9.8,35.3,8.1,32,Successful,1,,
10,Bruno Fernandes,35.3,8.9,31.6,18.8,32,Successful,1,,
11,Scott McTominay,32.3,23.1,27.1,30.1,32,Successful,1,,
12,Fred,25.5,31.0,31.9,55.9,32,Successful,1,,
13,Luke Shaw,39.9,49.1,52.6,56.3,32,Successful,1,,
14,Mason Greenwood,47.4,75.9,52.2,86.0,32,Successful,1,,
15,Paul Pogba,55.4,87.7,71.5,88.3,32,Unsuccessful,1,,
16,Matthew Cash,7.4,9.4,9.3,8.2,24,Unsuccessful,1,,
17,Matthew Cash,7.8,0.0,18.7,5.2,24,Successful,1,,
18,Bertrand Traoré,17.6,4.9,3.2,41.5,24,Successful,1,,
19,Emiliano Martínez,3.2,41.5,62.9,2.8,24,Unsuccessful,1,,
20,Harry Maguire,29.7,93.3,52.2,93.5,32,Unsuccessful,1,,
21,Bertrand Traoré,46.0,7.6,54.0,15.8,24,Successful,1,,
22,Scott McTominay,40.4,67.0,29.3,40.9,32,Successful,1,,
23,Victor Lindelöf,25.6,31.6,28.5,4.4,32,Successful,2,,
24,Aaron Wan-Bissaka,27.5,3.5,38.4,1.4,32,Successful,2,,
25,Mason Greenwood,38.4,1.4,21.9,1.3,32,Successful,2,,
26,Aaron Wan-Bissaka,22.1,2.5,45.3,2.0,32,Unsuccessful,2,,
27,Mason Greenwood,47.7,0.0,36.6,5.8,32,Successful,2,,
28,Aaron Wan-Bissaka,32.7,6.1,21.3,26.5,32,Successful,2,,
29,Victor Lindelöf,25.9,34.0,29.5,69.3,32,Successful,2,,
30,Harry Maguire,47.8,57.2,77.4,7.0,32,Successful,2,,
31,Mason Greenwood,98.1,25.2,92.7,23.6,32,Unsuccessful,2,,
32,Anwar El Ghazi,9.4,73.6,73.9,54.5,24,Unsuccessful,2,,
33,Victor Lindelöf,28.3,41.8,34.9,60.8,32,Successful,2,,
34,Harry Maguire,34.9,60.8,29.4,41.5,32,Successful,2,,
35,Victor Lindelöf,30.5,33.7,36.3,20.0,32,Successful,2,,
36,Scott McTominay,37.5,13.8,59.9,12.3,32,Successful,3,,
37,Bruno Fernandes,60.0,11.7,68.9,8.9,32,Unsuccessful,3,,
38,Anwar El Ghazi,46.1,92.7,53.1,86.8,24,Successful,3,,
39,Fred,38.0,27.7,41.8,33.7,32,Successful,3,,
40,Paul Pogba,42.0,35.5,29.3,37.3,32,Successful,3,,
41,Victor Lindelöf,33.5,48.4,35.7,70.6,32,Successful,3,,
42,Harry Maguire,44.6,84.7,50.6,96.8,32,Successful,3,,
43,Luke Shaw,46.3,95.4,25.4,69.7,32,Successful,3,,
44,Victor Lindelöf,22.2,58.7,28.9,19.5,32,Successful,3,,
45,Scott McTominay,31.2,11.1,42.3,2.2,32,Successful,3,,
46,Aaron Wan-Bissaka,42.3,2.2,43.9,11.1,32,Successful,3,,
47,Mason Greenwood,43.2,13.2,33.0,11.4,32,Successful,3,,
48,Scott McTominay,34.5,26.2,39.4,34.9,32,Successful,3,,
49,Fred,39.0,36.4,33.2,31.5,32,Successful,3,,
50,Scott McTominay,34.3,31.5,29.7,70.8,32,Successful,3,,
51,Harry Maguire,54.3,67.2,87.4,96.0,32,Successful,3,,
52,Luke Shaw,80.1,93.8,76.2,85.4,32,Successful,3,,
53,Paul Pogba,77.5,85.1,84.1,83.0,32,Successful,3,,
54,Mason Greenwood,96.2,40.6,90.6,67.4,32,Unsuccessful,4,,
55,Aaron Wan-Bissaka,66.7,23.6,70.9,27.9,32,Unsuccessful,4,,
56,Ross Barkley,26.4,66.9,38.1,72.1,24,Unsuccessful,4,,
57,Aaron Wan-Bissaka,63.9,24.1,79.4,39.4,32,Successful,4,,
58,Emiliano Martínez,13.0,49.5,64.8,70.1,24,Unsuccessful,4,,
59,Victor Lindelöf,34.1,31.1,40.4,35.7,32,Successful,4,,
60,Scott McTominay,32.9,40.3,31.9,69.4,32,Successful,4,,
61,Luke Shaw,33.9,73.5,36.5,61.7,32,Successful,4,,
62,Fred,47.4,50.3,48.6,21.5,32,Successful,4,,
63,Bruno Fernandes,68.0,35.7,64.7,53.6,32,Successful,4,,
64,Fred,63.3,44.2,70.9,7.0,32,Successful,4,,
65,Mason Greenwood,69.0,17.3,56.0,18.5,32,Successful,4,,
66,Scott McTominay,55.5,19.4,59.2,33.7,32,Successful,4,,
67,Fred,57.7,38.5,68.7,55.1,32,Successful,4,,
68,Paul Pogba,67.9,57.5,81.6,80.6,32,Successful,4,,
69,Luke Shaw,82.0,81.2,84.3,70.9,32,Unsuccessful,4,,
70,Luke Shaw,90.8,100.0,95.8,94.8,32,Successful,5,,
71,Paul Pogba,95.0,95.4,88.3,96.0,32,Successful,5,,
72,Luke Shaw,90.7,95.7,93.0,88.7,32,Successful,5,,
73,Marcus Rashford,92.4,88.4,89.6,76.7,32,Successful,5,,
74,Fred,71.0,53.4,73.1,41.5,32,Successful,5,,
75,Bruno Fernandes,73.2,40.9,66.2,25.6,32,Successful,5,,
76,Aaron Wan-Bissaka,66.0,23.0,76.8,9.7,32,Successful,5,,
77,Mason Greenwood,83.0,16.7,65.8,21.0,32,Successful,5,,
78,Scott McTominay,70.2,23.6,85.2,12.5,32,Successful,5,,
79,Bruno Fernandes,84.7,14.6,72.8,43.7,32,Successful,5,,
80,Fred,70.8,55.7,79.7,59.9,32,Successful,5,,
81,Marcus Rashford,81.2,60.5,86.7,68.8,32,Successful,5,,
82,Paul Pogba,87.4,69.1,96.8,49.9,32,Unsuccessful,5,,
83,Emiliano Martínez,9.3,52.0,14.4,76.1,24,Successful,6,,
84,Tyrone Mings,14.7,75.8,25.9,96.5,24,Successful,6,,
85,Matt Targett,30.9,96.8,56.4,83.6,24,Successful,6,,
86,Victor Lindelöf,36.7,19.0,59.2,9.2,32,Unsuccessful,6,,
87,Matt Targett,37.2,93.1,28.7,82.4,24,Successful,6,,
88,Tyrone Mings,28.7,82.4,41.8,75.5,24,Successful,6,,
89,Douglas Luiz,46.0,35.7,53.8,5.5,24,Successful,6,,
90,Bertrand Traoré,54.9,7.6,41.7,19.4,24,Successful,6,,
91,Matthew Cash,41.8,19.4,32.7,37.0,24,Successful,6,,
