,player,kit,team,x,y,endx,endy,event,outcome,time
0,Allan,6,31,49.9,50.0,31.9,51.8,Pass,Successful,0
1,Yerry Mina,13,31,31.9,51.8,31.8,55.7,Pass,Successful,0
2,Michael Keane,5,31,31.8,55.7,100.0,96.8,Pass,Unsuccessful,0
3,David de Gea,1,32,3.0,46.4,10.8,83.7,Pass,Successful,0
4,Raphaël Varane,19,32,21.6,82.8,27.3,95.4,Pass,Successful,0
5,Luke Shaw,23,32,27.3,95.3,18.4,82.1,Pass,Successful,0
6,Raphaël Varane,19,32,15.5,76.8,16.4,30.1,Pass,Successful,0
7,Victor Lindelöf,2,32,21.1,32.8,31.3,70.8,Pass,Successful,0
8,Raphaël Varane,19,32,35.3,75.5,38.1,94.5,Pass,Successful,0
9,Luke Shaw,23,32,35.6,91.7,30.9,80.0,Pass,Successful,0
10,Raphaël Varane,19,32,21.1,78.2,18.2,43.0,Pass,Successful,0
11,Victor Lindelöf,2,32,20.9,35.0,27.1,13.9,Pass,Successful,0
12,Scott McTominay,39,32,34.1,11.8,47.3,2.3,Pass,Successful,0
13,Aaron Wan-Bissaka,29,32,47.0,2.8,46.4,16.0,Pass,Successful,0
14,Mason Greenwood,11,32,41.7,13.7,29.0,32.9,Pass,Successful,0
15,Victor Lindelöf,2,32,30.7,38.6,0.0,0.0,BallTouch,Successful,0
16,Fred,17,32,53.2,72.2,68.3,98.0,Pass,Successful,1
17,Anthony Martial,9,32,67.8,95.9,58.3,73.8,Pass,Successful,1
18,Fred,17,32,58.3,71.3,48.0,58.1,Pass,Successful,1
19,Victor Lindelöf,2,32,47.2,47.5,53.8,13.4,Pass,Successful,1
20,Aaron Wan-Bissaka,29,32,58.2,15.5,63.3,6.1,Pass,Successful,1
21,Mason Greenwood,11,32,63.2,6.1,74.9,29.5,Pass,Unsuccessful,1
22,Michael Keane,5,31,28.0,80.3,35.0,78.5,Pass,Successful,1
23,Allan,6,31,35.0,78.5,0.0,0.0,BallRecovery,Successful,1
24,Allan,6,31,35.0,78.5,26.0,90.0,Pass,Successful,1
25,Michael Keane,5,31,24.2,94.5,41.4,97.8,Pass,Unsuccessful,1
26,Aaron Wan-Bissaka,29,32,62.4,3.4,0.0,0.0,BallRecovery,Successful,1
27,Aaron Wan-Bissaka,29,32,62.4,3.4,69.1,3.7,Pass,Successful,1
28,Scott McTominay,39,32,71.0,4.1,75.0,26.5,Pass,Unsuccessful,1
29,Abdoulaye Doucouré,16,31,28.7,69.5,0.0,0.0,Interception,Successful,1
30,Yerry Mina,13,31,10.2,60.5,0.0,0.0,BallRecovery,Successful,1
31,Yerry Mina,13,31,10.2,60.5,4.7,55.2,Pass,Successful,1
32,Jordan Pickford,1,31,4.7,55.2,34.6,40.4,Pass,Successful,1
33,Andros Townsend,14,31,34.6,40.4,29.8,50.3,Pass,Successful,1
34,Abdoulaye Doucouré,16,31,29.8,50.3,39.7,51.2,Pass,Successful,1
35,Demarai Gray,11,31,38.6,50.7,30.3,51.3,Pass,Successful,1
36,Abdoulaye Doucouré,16,31,30.3,51.3,34.2,60.8,Pass,Successful,1
37,Allan,6,31,30.6,59.7,20.3,34.7,Pass,Successful,1
38,Yerry Mina,13,31,21.7,31.1,34.3,4.4,Pass,Successful,1
39,Ben Godfrey,22,31,34.3,4.4,45.1,4.6,Pass,Unsuccessful,1
40,Luke Shaw,23,32,56.6,93.9,0.0,0.0,BallRecovery,Successful,1
41,Luke Shaw,23,32,56.5,93.8,60.9,93.5,Pass,Unsuccessful,1
42,Andros Townsend,14,31,39.2,4.6,0.0,0.0,BallTouch,Successful,1
43,Luke Shaw,23,32,59.3,100.0,68.8,88.2,Pass,Successful,1
44,Bruno Fernandes,18,32,68.8,88.2,60.7,95.7,Pass,Successful,1
45,Luke Shaw,23,32,45.3,91.7,37.0,65.7,Pass,Successful,2
46,Victor Lindelöf,2,32,37.7,59.7,52.6,50.1,Pass,Successful,2
47,Scott McTominay,39,32,52.6,48.4,55.9,14.8,Pass,Successful,2
48,Aaron Wan-Bissaka,29,32,70.0,10.0,77.5,4.3,Pass,Successful,2
49,Mason Greenwood,11,32,78.5,3.5,88.9,8.8,Pass,Successful,2
50,Aaron Wan-Bissaka,29,32,89.4,8.8,85.9,14.5,Pass,Unsuccessful,2
51,Lucas Digne,12,31,13.3,86.3,0.0,0.0,BallRecovery,Successful,2
52,Lucas Digne,12,31,13.3,86.3,27.4,74.1,Pass,Successful,2
53,Allan,6,31,27.4,74.1,27.3,92.0,Pass,Unsuccessful,2
54,Scott McTominay,39,32,75.2,7.3,0.0,0.0,BallRecovery,Successful,2
55,Scott McTominay,39,32,75.2,7.3,83.8,13.4,Pass,Successful,2
56,Mason Greenwood,11,32,83.5,13.4,88.3,8.2,Pass,Unsuccessful,2
57,Lucas Digne,12,31,10.1,94.7,11.7,100.0,Clearance,Successful,2
58,Aaron Wan-Bissaka,29,32,89.5,0.0,85.6,13.6,Pass,Successful,2
59,Bruno Fernandes,18,32,85.5,13.7,85.6,3.7,Pass,Successful,2
60,Aaron Wan-Bissaka,29,32,83.4,7.6,83.8,2.3,Pass,Successful,2
61,Bruno Fernandes,18,32,83.8,2.3,77.2,11.2,Pass,Successful,2
62,Mason Greenwood,11,32,74.6,13.4,69.8,56.0,Pass,Successful,2
63,Luke Shaw,23,32,71.0,66.2,78.4,96.0,Pass,Successful,2
64,Anthony Martial,9,32,83.1,89.6,75.9,78.8,Pass,Successful,2
